gene	cnv
CTRC	2.053
CTRL	2.266
CTSA	1.849
CTSB	1.914
CTSC	1.922
CTSD	2.368
CTSE	1.973
CTSF	1.922
CTSG	1.92
CTSH	2
CTSK	1.973
CTSL	1.61
CTSL3P	1.61
CTSLP2	1.96
CTSLP8	2
CTSO	2.5
CTSS	1.973
CTSV	1.61
CTSW	1.922
CTSZ	1.849
CTTN	1.922
CTTNBP2	2.009
CTTNBP2NL	2.053
CTU1	2.391
CTU2	2.266
CTXN1	2.368
CTXN2	2
CTXN3	2
CUBN	1.96
CUEDC1	1.954
CUEDC2	1.96
CUL1	2.009
CUL2	1.96
CUL3	2.13
CUL4A	2.057
CUL4B	2.147
CUL5	1.922
CUL7	1.703
CUL9	1.703
CUTA	1.666
CUTC	1.96
CUX1	2.009
CUX2	2.061
CUZD1	1.96
CWC15	1.922
CWC22	2.13
CWC25	1.869
CWC27	1.963
CWF19L1	1.96
CWF19L2	1.922
CWH43	2.05
CX3CL1	2.266
CX3CR1	1.635
CXADR	2.223
CXADRP2	1.422
CXADRP3	2.129
CXCL1	2.39
CXCL10	2.39
CXCL11	2.39
CXCL12	1.96
CXCL13	2.39
CXCL14	1.963
CXCL16	1.954
CXCL17	2.391
CXCL2	2
CXCL3	2.39
CXCL5	2.39
CXCL6	2.39
CXCL8	2.39
CXCL9	2.39
CXCR1	2
CXCR2	2.13
CXCR2P1	2.13
CXCR3	2.147
CXCR4	2
CXCR5	1.922
CXCR6	1.635
CXorf21	2.147
CXorf23	2.147
CXorf36	2.147
CXorf38	2.147
CXorf40A	2.147
CXorf40B	2.147
CXorf49	2
CXorf49B	2
CXorf51A	2
CXorf51B	2
CXorf56	2.147
CXorf57	2.147
CXorf58	2.147
CXorf65	2.147
CXorf66	2
CXorf67	2.147
CXXC1	2.129
CXXC1P1	2
CXXC4	2
CXXC5	1.963
CYB561	1.954
CYB561A3	2.205
CYB561D1	2.053
CYB561D2	1.635
CYB5A	2.129
CYB5B	2.266
CYB5D1	1.954
CYB5D2	1.954
CYB5R1	1.973
CYB5R2	2.205
CYB5R3	1.865
CYB5R4	1.687
CYB5RL	2.053
CYBA	2.266
CYBB	2.147
CYBRD1	2.13
CYC1	1.914
CYCS	2.009
CYCSP52	2
CYFIP1	2.105
CYFIP2	1.963
CYGB	1.954
CYHR1	1.914
CYLC1	2.147
CYLC2	1.61
CYLD	2.266
CYMP	2
CYP11A1	2
CYP11B1	1.914
CYP11B2	1.914
CYP17A1	1.96
CYP19A1	2
CYP1A1	2
CYP1A2	2
CYP1B1	1.975
CYP1B1-AS1	1.975
CYP20A1	2.13
CYP21A1P	1.715
CYP21A2	1.715
CYP24A1	1.849
CYP26A1	1.96
CYP26B1	1.975
CYP26C1	1.96
CYP27A1	2.13
CYP27B1	2.061
CYP27C1	2.13
CYP2A13	2.391
CYP2A6	2.391
CYP2A7	2.391
CYP2B6	2.391
CYP2B7P	2.391
CYP2C18	1.96
CYP2C19	1.96
CYP2C8	1.96
CYP2C9	1.96
CYP2D6	1.477
CYP2D7	1.477
CYP2E1	1.96
CYP2F1	2.391
CYP2G1P	2
CYP2J2	2.053
CYP2R1	2.205
CYP2S1	2.391
CYP2U1	2.39
CYP2W1	2.009
CYP39A1	1.703
CYP3A4	2.009
CYP3A43	2.009
CYP3A5	2.009
CYP3A7	2.009
CYP3A7-CYP3A51P	2.009
CYP46A1	1.92
CYP4A11	2.053
CYP4A22	2.053
CYP4B1	2.053
CYP4F11	2.368
CYP4F12	2.368
CYP4F2	2.368
CYP4F22	2.368
CYP4F24P	2.368
CYP4F29P	2
CYP4F3	2.368
CYP4F30P	2.13
CYP4F35P	2
CYP4F62P	2.13
CYP4F8	2.368
CYP4V2	2.39
CYP4X1	2.053
CYP4Z1	2.053
CYP4Z2P	2.053
CYP51A1	2.009
CYP51A1-AS1	2.009
CYP7A1	1.914
CYP7B1	1.914
CYP8B1	1.635
CYR61	2.053
CYS1	1.975
CYSLTR1	2.147
CYSLTR2	2
CYSRT1	1.61
CYSTM1	1.963
CYTH1	1.954
CYTH2	2.391
CYTH3	2.009
CYTH4	1.865
CYTIP	2.13
CYTL1	2.05
CYYR1	2.223
CYYR1-AS1	2.223
D21S2088E	2
D2HGDH	2.13
DAAM1	1.92
DAAM2	1.703
DAB1	2.053
DAB1-AS1	2
DAB2	1.955
DAB2IP	1.61
DACH1	2.057
DACH2	2.147
DACT1	1.92
DACT2	1.687
DACT3	2.391
DACT3-AS1	2.391
DAD1	1.92
DAG1	1.635
DAGLA	2.205
DAGLB	2.009
DALRD3	1.635
DANCR	2
DAND5	2
DANT2	2.147
DAO	2.061
DAOA	2.057
DAOA-AS1	2.057
DAP	1.955
DAP3	1.973
DAPK1	1.61
DAPK2	2
DAPK3	2.368
DAPL1	2.13
DAPP1	2.39
DARS	2.13
DARS-AS1	2.13
DARS2	1.973
DAW1	2.13
DAXX	1.733
DAZ1	0.059
DAZ2	0.059
DAZ3	0.059
DAZ4	0.059
DAZAP1	2.368
DAZAP2	2.061
DAZL	1.635
DBET	2.39
DBF4	2.009
DBF4B	1.954
DBH	1.61
DBH-AS1	1.61
DBI	2.13
DBIL5P	1.954
DBIL5P2	2
DBN1	1.963
DBNDD1	2.266
DBNDD2	1.849
DBNL	2.009
DBP	2.391
DBR1	2.033
DBT	2.053
DBX1	2.205
DBX2	2.061
DCAF1	1.635
DCAF10	1.946
DCAF11	1.92
DCAF12	1.946
DCAF12L1	2
DCAF12L2	2
DCAF13	1.914
DCAF13P3	2
DCAF15	2.368
DCAF16	2.05
DCAF17	2.13
DCAF4	1.92
DCAF4L1	2.05
DCAF4L2	1.914
DCAF5	1.92
DCAF6	1.973
DCAF7	1.954
DCAF8	1.973
DCAF8L1	2.147
DCAF8L2	2.147
DCAKD	1.954
DCANP1	1.963
DCBLD1	1.687
DCBLD2	1.635
DCC	2.129
DCD	2.061
DCDC1	2.205
DCDC2	1.703
DCDC2B	2.053
DCDC2C	1.975
DCDC5	2.205
DCHS1	2.205
DCHS2	2.39
DCK	2.39
DCLK1	2.057
DCLK2	2.39
DCLK3	1.635
DCLRE1A	1.96
DCLRE1B	2.053
DCLRE1C	1.96
DCN	2.061
DCP1A	1.635
DCP1B	2.061
DCP2	1.963
DCPS	1.922
DCST1	1.973
DCST2	1.973
DCSTAMP	1.914
DCT	2.057
DCTD	2.39
DCTN1	1.975
DCTN1-AS1	2
DCTN2	2.061
DCTN3	1.946
DCTN4	1.963
DCTN5	2.167
DCTN6	1.914
DCTPP1	2.167
DCUN1D1	2.033
DCUN1D2	2.057
DCUN1D3	2.167
DCUN1D4	2.39
DCUN1D5	1.922
DCX	2.147
DCXR	1.954
DDA1	2.368
DDAH1	2.053
DDAH2	1.646
DDB1	2.205
DDB2	2.205
DDC	2.009
DDC-AS1	2.009
DDHD1	1.92
DDHD2	1.914
DDI1	2
DDI2	2.053
DDIAS	2
DDIT3	2.061
DDIT4	1.96
DDIT4L	2.39
DDN	2.061
DDO	1.687
DDOST	2.053
DDR1	1.649
DDR2	1.973
DDRGK1	1.849
DDT	1.551
DDTL	1.551
DDX1	1.975
DDX10	1.922
DDX11	2.061
DDX11-AS1	2.061
DDX11L1	2.053
DDX11L10	2
DDX11L16	2.147
DDX11L2	2.13
DDX11L5	1.946
DDX11L9	2
DDX12P	2.061
DDX17	1.865
DDX18	2.13
DDX19A	2.266
DDX19B	2.266
DDX20	2.053
DDX21	1.96
DDX23	2.061
DDX24	1.932
DDX25	1.922
DDX26B-AS1	2
DDX27	1.849
DDX28	2.266
DDX31	1.61
DDX39A	2.368
DDX39B	1.651
DDX39B-AS1	2
DDX3X	2.147
DDX3Y	0.059
DDX4	1.963
DDX41	1.963
DDX42	1.954
DDX43	1.687
DDX46	1.963
DDX47	2.061
DDX49	2.368
DDX5	1.954
DDX50	1.96
DDX51	2.061
DDX52	1.869
DDX53	2.147
DDX54	2.061
DDX55	2.061
DDX56	2.009
DDX58	1.946
DDX59	1.973
DDX6	1.922
DDX60	2.39
DDX60L	2.39
DEAF1	2.461
DEAR	2
DEC1	1.61
DECR1	1.914
DECR2	2.197
DEDD	1.973
DEDD2	2.391
DEF6	1.703
DEF8	2.266
DEFA1	2
DEFA10P	2
DEFA11P	1.914
DEFA1B	2
DEFA3	1.914
DEFA4	1.914
DEFA5	1.914
DEFA6	1.914
DEFA8P	2
DEFA9P	2
DEFB1	1.914
DEFB103A	2.434
DEFB103B	2.434
DEFB104A	2.434
DEFB104B	2.434
DEFB105A	2.434
DEFB105B	2.434
DEFB106A	2.434
DEFB106B	2.434
DEFB107A	2.434
DEFB107B	2.434
DEFB108B	2
DEFB109P1	2
DEFB109P1B	2
DEFB110	2
DEFB112	1.703
DEFB113	1.703
DEFB114	1.703
DEFB115	1.849
DEFB116	1.849
DEFB118	2
DEFB119	1.849
DEFB121	1.849
DEFB122	2
DEFB123	1.849
DEFB124	2
DEFB125	2
DEFB126	1.849
DEFB127	1.849
DEFB128	1.849
DEFB129	1.849
DEFB130	1.914
DEFB131	2.05
DEFB132	1.849
DEFB133	2
DEFB134	1.914
DEFB135	1.914
DEFB136	1.914
DEFB4A	1.914
DEFB4B	3.095
DEFT1P	2
DEFT1P2	2
DEGS1	1.973
DEGS2	1.92
DEK	1.703
DENND1A	1.61
DENND1B	1.973
DENND1C	2.368
DENND2A	2.009
DENND2C	2.053
DENND2D	2.053
DENND3	1.914
DENND4A	2
DENND4B	1.973
DENND4C	1.946
DENND5A	2.205
DENND5B	2.061
DENND5B-AS1	2.061
DENND6A	1.635
DENND6B	1.865
DENR	2.061
DEPDC1	2.053
DEPDC1-AS1	2
DEPDC1B	1.963
DEPDC4	2.061
DEPDC5	1.865
DEPDC7	2.205
DEPTOR	1.914
DERA	2.061
DERL1	1.914
DERL2	1.954
DERL3	1.551
DES	2.13
DESI1	1.865
DESI2	1.973
DET1	2
DEUP1	1.922
DEXI	2.167
DFFA	2.053
DFFB	2.053
DFNA5	2.009
DFNB59	2.13
DGAT1	1.914
DGAT2	1.922
DGAT2L6	2.147
DGCR10	1.865
DGCR11	1.865
DGCR14	1.865
DGCR2	1.865
DGCR5	1.865
DGCR6	2.209
DGCR6L	1.865
DGCR8	1.865
DGCR9	2
DGKA	2.061
DGKB	2.009
DGKD	2.13
DGKE	1.954
DGKG	2.033
DGKH	2.057
DGKI	2.009
DGKK	2.147
DGKQ	2.05
DGKZ	2.205
DGUOK	1.975
DGUOK-AS1	1.975
DHCR24	2.053
DHCR7	1.922
DHDDS	2.053
DHDH	2.391
DHFR	1.963
DHFR2	1.635
DHFRP3	2
DHH	2.061
DHODH	2.266
DHPS	2.368
DHRS1	1.92
DHRS11	1.869
DHRS12	2.057
DHRS13	1.954
DHRS2	1.92
DHRS3	2.053
DHRS4	1.92
DHRS4-AS1	1.92
DHRS4L1	1.92
DHRS4L2	1.92
DHRS7	1.92
DHRS7B	1.954
DHRS7C	1.954
DHRS9	2.13
DHRSX	2.147
DHTKD1	1.96
DHX15	2.05
DHX16	1.651
DHX29	1.963
DHX30	1.635
DHX32	1.96
DHX33	1.954
DHX34	2.391
DHX35	1.849
DHX36	2.049
DHX37	2.061
DHX38	2.266
DHX40	1.954
DHX57	1.975
DHX58	1.954
DHX8	1.954
DHX9	1.973
DIABLO	2.061
DIAPH1	1.963
DIAPH2	2.147
DIAPH2-AS1	2
DIAPH3	2.057
DIAPH3-AS1	2.057
DIAPH3-AS2	2
DICER1	1.92
DICER1-AS1	2
DIDO1	1.849
DIEXF	1.973
DIMT1	1.963
DIO1	2.053
DIO2	1.92
DIO2-AS1	1.92
DIO3	1.92
DIO3OS	2
DIP2A	2.223
DIP2A-IT1	2
DIP2B	2.061
DIP2C	1.96
DIRAS1	2.368
DIRAS2	1.61
DIRAS3	2.053
DIRC1	2.13
DIRC2	2.033
DIRC3	2.13
DIRC3-AS1	2
DIS3	2.057
DIS3L	2
DIS3L2	2.13
DISC1	1.973
DISC1-IT1	2
DISC1FP1	2
DISC2	1.973
DISP1	1.973
DISP2	2
DISP3	2.053
DIXDC1	1.922
DKC1	2.147
DKFZP434A062	1.61
DKFZP434H168	2.266
DKFZP434I0714	2
DKFZP434K028	2.205
DKFZP434L187	1.908
DKFZp434L192	2
DKFZp451B082	1.687
DKFZP586I1420	2.009
DKFZp686K1684	2.205
DKFZp779M0652	2
DKK1	1.96
DKK2	2.39
DKK3	2.205
DKK4	1.914
DKKL1	2.391
DLAT	1.922
DLC1	1.914
DLD	2.009
DLEC1	1.635
DLEU1	2.057
DLEU1-AS1	2
DLEU2	2.057
DLEU2L	2
DLEU7	2.057
DLEU7-AS1	2
DLG1	2.033
DLG1-AS1	2
DLG2	1.922
DLG3	2.147
DLG3-AS1	2.147
DLG4	1.954
DLG5	2.328
DLG5-AS1	1.96
DLGAP1	2.129
DLGAP1-AS1	2
DLGAP1-AS2	2
DLGAP1-AS3	2.129
DLGAP1-AS4	2
DLGAP1-AS5	2.129
DLGAP2	2.079
DLGAP2-AS1	1.897
DLGAP3	2.053
DLGAP4	1.849
DLGAP4-AS1	1.849
DLGAP5	1.92
DLK1	1.92
DLK2	1.703
DLL1	1.021
DLL3	2.142
DLL4	2
DLST	1.92
DLSTP1	2.053
DLX1	2.13
DLX2	2.13
DLX2-AS1	2
DLX3	1.954
DLX4	1.954
DLX5	2.009
DLX6	2.009
DLX6-AS1	2.009
DMAP1	2.053
DMBT1	1.96
DMBT1P1	2
DMBX1	2.053
DMC1	1.865
DMD	2.147
DMGDH	1.963
DMKN	2.142
DMP1	2.39
DMPK	2.391
DMRT1	1.946
DMRT2	1.946
DMRT3	1.946
DMRTA1	1.946
DMRTA2	2.053
DMRTB1	2.053
DMRTC1	2.147
DMRTC1B	2.147
DMRTC2	2.391
DMTF1	2.009
DMTN	1.914
DMWD	2.391
DMXL1	1.963
DMXL2	2
DNA2	1.96
DNAAF1	2.266
DNAAF2	1.92
DNAAF3	1.711
DNAAF5	2.009
DNAH1	1.635
DNAH10	2.337
DNAH11	2.009
DNAH12	1.635
DNAH14	1.973
DNAH17	1.954
DNAH17-AS1	1.954
DNAH2	1.954
DNAH3	2.167
DNAH5	1.955
DNAH6	1.975
DNAH7	2.13
DNAH8	1.703
DNAH9	1.954
DNAI1	1.946
DNAI2	1.954
DNAJA1	1.946
DNAJA1P5	2
DNAJA2	2.266
DNAJA3	2.364
DNAJA4	2
DNAJB1	2.368
DNAJB11	2.033
DNAJB12	1.96
DNAJB13	1.922
DNAJB14	2.39
DNAJB2	2.13
DNAJB3	2.13
DNAJB4	2.053
DNAJB5	1.946
DNAJB5-AS1	2
DNAJB6	2.009
DNAJB7	1.865
DNAJB8	2.033
DNAJB8-AS1	2.033
DNAJB9	2.009
DNAJC1	1.96
DNAJC10	2.13
DNAJC11	2.053
DNAJC12	1.96
DNAJC13	2.033
DNAJC14	2.061
DNAJC15	2.057
DNAJC16	2.053
DNAJC17	2
DNAJC18	1.963
DNAJC19	2.033
DNAJC2	2.009
DNAJC21	1.955
DNAJC22	2.061
DNAJC24	2.205
DNAJC25	1.61
DNAJC25-GNG10	1.61
DNAJC27	1.975
DNAJC27-AS1	1.975
DNAJC28	0.944
DNAJC3	2.057
DNAJC3-AS1	2.057
DNAJC30	2.009
DNAJC4	2.205
DNAJC5	1.849
DNAJC5B	1.914
DNAJC5G	1.975
DNAJC6	2.053
DNAJC7	1.954
DNAJC8	2.053
DNAJC9	1.96
DNAJC9-AS1	1.96
DNAL1	1.92
DNAL4	1.865
DNALI1	2.053
DNASE1	2.167
DNASE1L1	2.147
DNASE1L2	2.167
DNASE1L3	1.635
DNASE2	2.368
DNASE2B	2.053
DND1	1.963
DNER	2.13
DNHD1	2.205
DNLZ	2
DNM1	1.61
DNM1L	2.061
DNM1P35	2
DNM1P41	2
DNM1P46	2
DNM2	2.368
DNM3	1.973
DNM3-IT1	2
DNM3OS	1.973
DNMBP	1.96
DNMBP-AS1	1.96
DNMT1	2.368
DNMT3A	1.975
DNMT3B	1.849
DNMT3L	2.223
DNPEP	2.13
DNPH1	1.703
DNTT	1.96
DNTTIP1	1.849
DNTTIP2	2.053
DOC2A	2.167
DOC2B	1.884
DOC2GP	2
DOCK1	1.96
DOCK10	2.13
DOCK11	2.147
DOCK2	1.963
DOCK3	1.635
DOCK4	2.009
DOCK4-AS1	2.009
DOCK5	1.914
DOCK6	2.368
DOCK7	2.053
DOCK8	1.946
DOCK9	2.057
DOCK9-AS1	2
DOCK9-AS2	2
DOHH	2.368
DOK1	1.975
DOK2	1.914
DOK3	1.963
DOK4	2.266
DOK5	1.849
DOK6	2.129
DOK7	2.05
DOLK	2
DOLPP1	1.61
DONSON	2.223
DOPEY1	1.687
DOPEY2	2.223
DOT1L	2.368
DPAGT1	1.922
DPCD	1.96
DPCR1	1.733
DPEP1	2.266
DPEP2	2.266
DPEP3	2.266
DPF1	2.142
DPF2	2.205
DPF3	1.92
DPH1	1.954
DPH2	2.053
DPH3	1.635
DPH3P1	2
DPH5	2.053
DPH6	2
DPH6-AS1	2
DPH7	1.61
DPM1	1.849
DPM2	1.61
DPM3	1.973
DPP10	2.13
DPP10-AS1	2
DPP10-AS3	2
DPP3	1.922
DPP4	2.13
DPP6	2.009
DPP7	1.61
DPP8	2
DPP9	2.368
DPP9-AS1	2.368
DPPA2	1.635
DPPA2P3	2.033
DPPA3	2.061
DPPA4	1.635
DPPA5	1.687
DPRX	2
DPRXP4	1.954
DPT	1.973
DPY19L1	2.009
DPY19L1P1	2.009
DPY19L1P2	2
DPY19L2	2.061
DPY19L2P1	2.009
DPY19L2P2	2.432
DPY19L2P3	2.009
DPY19L2P4	2
DPY19L3	2.142
DPY19L4	1.914
DPY30	1.975
DPYD	2.053
DPYD-AS1	2.053
DPYD-AS2	2
DPYS	1.914
DPYSL2	1.914
DPYSL3	1.963
DPYSL4	1.96
DPYSL5	1.975
DQX1	1.975
DR1	2.053
DRAIC	2
DRAM1	2.061
DRAM2	2.053
DRAP1	1.922
DRAXIN	2.053
DRC1	1.975
DRC3	1.954
DRC7	2.266
DRD1	1.963
DRD2	1.922
DRD3	1.635
DRD4	2.461
DRD5	2
DRD5P2	1.973
DRG1	1.865
DRG2	1.954
DRGX	1.96
DRICH1	1.865
DROSHA	1.955
DRP2	2.147
DSC1	2.129
DSC2	2.129
DSC3	2.129
DSCAM	2.223
DSCAM-AS1	2
DSCAM-IT1	2
DSCAML1	1.922
DSCAS	2.129
DSCC1	1.914
DSCR10	2
DSCR3	2.223
DSCR4	2.223
DSCR8	2
DSCR9	2
DSE	1.687
DSEL	0.191
DSG1	2.129
DSG1-AS1	2.129
DSG2	2.129
DSG2-AS1	2.129
DSG3	2.129
DSG4	2.129
DSN1	1.849
DSP	1.703
DSPP	2
DST	1.703
DSTN	1.849
DSTNP2	2
DSTYK	1.973
DTD1	1.849
DTD2	1.92
DTHD1	2.05
DTL	1.973
DTNA	2.129
DTNB	1.975
DTNBP1	1.703
DTWD1	2
DTWD2	1.963
DTX1	2.061
DTX2	2.409
DTX2P1-UPK3BP1-PMS2P11	2.009
DTX3	2.061
DTX3L	2.033
DTX4	2.205
DTYMK	2.13
DUBR	2
DUOX1	2
DUOX2	2
DUOXA1	2
DUOXA2	2
DUPD1	1.96
DUS1L	1.954
DUS2	2.266
DUS3L	2.368
DUS4L	2.009
DUSP1	1.963
DUSP10	1.973
DUSP11	1.975
DUSP12	1.973
DUSP13	1.96
DUSP14	1.869
DUSP15	1.849
DUSP16	2.061
DUSP18	1.865
DUSP19	2.13
DUSP2	2.13
DUSP21	2.147
DUSP22	1.703
DUSP23	1.973
DUSP26	1.914
DUSP27	1.973
DUSP28	2.13
DUSP3	1.954
DUSP4	1.914
DUSP5	1.96
DUSP5P1	1.973
DUSP6	2.061
DUSP7	1.635
DUSP8	1.336
DUSP9	2.147
DUT	2
DUX4	1.96
DUXA	1.711
DUXAP10	1.92
DUXAP8	1.865
DVL1	2.053
DVL2	1.954
DVL3	2.033
DXO	1.715
DYDC1	1.96
DYDC2	1.96
DYM	2.129
DYNAP	2.129
DYNC1H1	1.92
DYNC1I1	2.009
DYNC1I2	2.13
DYNC1LI1	1.635
DYNC1LI2	2.266
DYNC2H1	1.922
DYNC2LI1	1.975
DYNLL1	2.061
DYNLL2	1.954
DYNLRB1	1.849
DYNLRB2	2.266
DYNLT1	1.687
DYNLT3	2.147
DYRK1A	2.223
DYRK1B	2.142
DYRK2	2.061
DYRK3	1.973
DYRK4	2.061
DYSF	1.975
DYTN	2.13
DYX1C1	2
DYX1C1-CCPG1	2
DZANK1	1.849
DZIP1	2.057
DZIP1L	2.033
DZIP3	1.635
E2F1	1.849
E2F2	2.053
E2F3	1.703
E2F4	2.266
E2F5	1.914
E2F6	1.975
E2F7	2.061
E2F8	2.205
E4F1	2.167
EAF1	1.635
EAF2	2.033
EAPP	1.92
EARS2	2.167
EBAG9	1.914
EBF1	1.963
EBF2	1.914
EBF3	1.96
EBF4	1.849
EBI3	2.368
EBLN1	2
EBLN2	2
EBLN3P	2
EBNA1BP2	2.053
EBP	2.147
EBPL	2.057
ECD	1.96
ECE1	2.053
ECE2	2.033
ECEL1	2.13
ECEL1P2	2.13
ECH1	2.142
ECHDC1	1.687
ECHDC2	2.053
ECHDC3	1.96
ECHS1	1.96
ECI1	2.167
ECI2	1.703
ECM1	1.973
ECM2	1.61
ECRP	1.92
ECSCR	1.963
ECSIT	2.368
ECT2	2.033
ECT2L	1.687
EDA	2.147
EDA2R	2.147
EDAR	2.13
EDARADD	1.973
EDC3	2
EDC4	2.266
EDDM3A	1.92
EDDM3B	1.92
EDEM1	1.635
EDEM2	1.849
EDEM3	1.973
EDF1	1.61
EDIL3	1.963
EDN1	1.703
EDN2	2.053
EDN3	1.849
EDNRA	2.39
EDNRB	2.057
EDNRB-AS1	2.057
EDRF1	1.96
EDRF1-AS1	1.96
EEA1	2.061
EED	1.922
EEF1A1	1.687
EEF1A2	1.849
EEF1AKMT1	2.057
EEF1B2	2.13
EEF1D	2.063
EEF1DP3	2
EEF1E1	1.703
EEF1E1-BLOC1S5	1.703
EEF1G	2.205
EEF2	2.368
EEF2K	2.167
EEF2KMT	2.167
EEFSEC	2.033
EEPD1	2.009
EFCAB1	1.914
EFCAB10	2
EFCAB11	1.92
EFCAB12	2.033
EFCAB13	1.954
EFCAB14	2.053
EFCAB14-AS1	2.053
EFCAB2	1.973
EFCAB3	1.954
EFCAB5	1.954
EFCAB6	1.865
EFCAB6-AS1	1.865
EFCAB7	2.053
EFCAB9	1.963
EFCC1	2.033
EFEMP1	1.975
EFEMP2	1.922
EFHB	1.635
EFHC1	1.703
EFHC2	2.147
EFHD1	2.13
EFHD2	2.053
EFL1	2
EFNA1	1.973
EFNA2	2.368
EFNA3	1.973
EFNA4	1.973
EFNA5	1.963
EFNB1	2.147
EFNB2	2.057
EFNB3	1.954
EFR3A	1.914
EFR3B	1.975
EFS	1.92
EFTUD1P1	2
EFTUD2	1.954
EGF	2.39
EGFEM1P	2
EGFL6	2.147
EGFL7	1.61
EGFL8	1.648
EGFLAM	1.955
EGFLAM-AS2	1.955
EGFLAM-AS4	2
EGFR	2.009
EGFR-AS1	2.009
EGLN1	1.973
EGLN2	2.391
EGLN3	1.92
EGOT	1.635
EGR1	1.963
EGR2	1.96
EGR3	1.914
EGR4	1.975
EHBP1	1.975
EHBP1L1	1.922
EHD1	2.205
EHD2	2.391
EHD3	1.975
EHD4	2
EHD4-AS1	2
EHF	2.205
EHHADH	2.033
EHHADH-AS1	2
EHMT1	1.61
EHMT1-IT1	1.61
EHMT2	1.711
EI24	1.922
EID1	2
EID2	2.142
EID2B	2.142
EID3	2.061
EIF1	1.954
EIF1AD	1.922
EIF1AX	2.147
EIF1AX-AS1	2
EIF1AY	0.059
EIF1B	1.635
EIF1B-AS1	1.635
EIF2A	2.033
EIF2AK1	2.009
EIF2AK2	1.975
EIF2AK3	1.975
EIF2AK4	2
EIF2B1	2.061
EIF2B2	1.92
EIF2B3	2.053
EIF2B4	1.975
EIF2B5	2.033
EIF2B5-AS1	2
EIF2D	1.973
EIF2S1	1.92
EIF2S2	1.849
EIF2S3	2.147
EIF3A	1.96
EIF3B	2.009
EIF3C	2.167
EIF3CL	2.167
EIF3D	1.865
EIF3E	1.914
EIF3F	2.205
EIF3G	2.368
EIF3H	1.914
EIF3I	2.053
EIF3IP1	2.009
EIF3J	2
EIF3J-AS1	2
EIF3K	2.142
EIF3L	1.865
EIF3M	2.205
EIF4A1	1.954
EIF4A2	2.033
EIF4A3	1.954
EIF4B	2.061
EIF4E	2.39
EIF4E1B	1.963
EIF4E2	2.13
EIF4E3	1.635
EIF4EBP1	1.914
EIF4EBP2	1.96
EIF4EBP3	1.963
EIF4ENIF1	1.865
EIF4G1	2.033
EIF4G2	2.205
EIF4G3	2.053
EIF4H	2.009
EIF5	1.92
EIF5A	1.954
EIF5A2	2.033
EIF5AL1	1.96
EIF5B	2.13
EIF6	1.849
ELAC1	2.129
ELAC2	1.954
ELANE	2.486
ELAVL1	2.368
ELAVL2	1.946
ELAVL3	2.368
ELAVL4	2.053
ELDR	2
ELF1	2.057
ELF2	2.39
ELF3	1.973
ELF4	2.147
ELF5	2.205
ELFN1	2.009
ELFN1-AS1	2
ELFN2	1.865
ELK1	2.147
ELK2AP	0.37
ELK3	2.061
ELK4	1.973
ELL	2.368
ELL2	1.963
ELL3	2
ELMO1	2.009
ELMO1-AS1	2
ELMO2	1.849
ELMO3	2.266
ELMOD1	1.922
ELMOD2	2.39
ELMOD3	1.975
ELMSAN1	1.92
ELN	2.009
ELOF1	2.368
ELOVL1	2.053
ELOVL2	1.703
ELOVL2-AS1	2
ELOVL3	1.96
ELOVL4	1.687
ELOVL5	1.703
ELOVL6	2.39
ELOVL7	1.963
ELP2	2.129
ELP3	1.914
ELP4	2.205
ELP5	1.954
ELP6	1.635
ELSPBP1	2.391
EMB	1.963
EMBP1	2.053
EMC1	2.053
EMC10	2.391
EMC2	1.914
EMC3	1.635
EMC3-AS1	1.635
EMC4	2
EMC6	1.954
EMC7	2
EMC8	2.266
EMC9	1.92
EMCN	2.39
EMD	2.147
EME1	1.954
EME2	2.167
EMG1	2.061
EMID1	1.865
EMILIN1	1.975
EMILIN2	2.129
EMILIN3	1.849
EML1	1.92
EML2	2.391
EML2-AS1	2.391
EML3	2.205
EML4	1.975
EML5	1.92
EML6	1.975
EMP1	2.061
EMP2	2.167
EMP3	2.391
EMSY	1.922
EMX1	1.975
EMX2	1.96
EMX2OS	1.96
EN1	2.13
EN2	2.009
ENAH	1.973
ENAM	2.39
ENC1	1.963
ENDOD1	1.922
ENDOG	1.61
ENDOU	2.061
ENDOV	1.954
ENG	1.61
ENGASE	1.954
ENHO	2
ENKD1	2.266
ENKUR	1.96
ENO1	2.053
ENO1-AS1	2
ENO2	2.061
ENO3	1.954
ENO4	1.96
ENOPH1	2.39
ENOSF1	2.129
ENOX1	2.057
ENOX1-AS2	2
ENOX2	2.147
ENPEP	2.39
ENPP1	1.687
ENPP2	1.914
ENPP3	1.687
ENPP4	1.703
ENPP5	1.703
ENPP6	2.39
ENPP7	1.954
ENPP7P13	2
ENSA	1.973
ENTHD1	1.865
ENTPD1	1.96
ENTPD1-AS1	1.96
ENTPD2	1.61
ENTPD3	1.635
ENTPD3-AS1	1.635
ENTPD4	1.914
ENTPD5	1.92
ENTPD6	1.849
ENTPD7	1.96
ENTPD8	1.61
ENY2	1.914
EOGT	1.635
EOMES	1.635
EP300	1.865
EP300-AS1	1.865
EP400	2.061
EP400NL	2.061
EPAS1	1.975
EPB41	2.053
EPB41L1	1.849
EPB41L2	1.687
EPB41L3	2.129
EPB41L4A	1.963
EPB41L4A-AS1	1.963
EPB41L4A-AS2	1.963
EPB41L4B	1.61
