"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample2","sample4","sample6","sample9"
"Signature_1",0.305307857914955,0.999999999999975,0.00000000000000102602422402744,0.00000000000000972835380131466,0.00000000000000972835380131466,0.999999999999973,0.999999999999975,0.0000000000000063408228009938,0.0000000000000133821956046252,0.0000000000000077716084154194,0.00000000000000567859587660803,0.00000000000000394845195448051,0.999999999999965
"Signature_2",0.160464849167588,0.00000000000000817407492283628,0.00000000000000102602422402744,0.00000000000000972835380131466,0.00000000000000972835380131466,0.00000000000000884683829097095,0.00000000000000817407492283631,0.999999999999981,0.0000000000000133821956046252,0.0000000000000077716084154194,0.999999999999983,0.811925618025103,0.000000000000011747441009322
"Signature_3",0.166509830019859,0.00000000000000817407492283628,0.00000000000000102602422402744,0.999999999999971,0.999999999999971,0.00000000000000884683829097095,0.00000000000000817407492283631,0.0000000000000063408228009938,0.99999999999996,0.277296335600506,0.00000000000000567859587660803,0.188074381974889,0.000000000000011747441009322
"Signature_4",0.367717462897598,0.00000000000000817407492283628,0.999999999999997,0.00000000000000972835380131466,0.00000000000000972835380131466,0.00000000000000884683829097095,0.00000000000000817407492283631,0.0000000000000063408228009938,0.0000000000000133821956046252,0.722703664399479,0.00000000000000567859587660803,0.00000000000000394845195448051,0.000000000000011747441009322
