"","sample1","sample2","sample4","sample13","sample14","sample15","sample16","sample17","sample6","sample9","sample10","sample11","sample12"
"ZNFX1",0,0,0,0,0,0,0,0,0,0,0,0,0
"HELZ2",0,0,0,0,0,0,0,0,0,0,0,0,0
"VHL",0,0,0,0,0,0,0,0,0,0,0,0,0
"PBRM1",0,0,0,0,0,0,0,0,0,0,0,0,0
"HCN1",0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX4",0,0,0,0,0,0,0,0,0,0,0,0,0
"MKLN1",0,0,0,0,0,0,0,0,0,0,0,0,0
"STEAP1",0,0,0,0,0,0,0,0,0,0,0,0,0
"TCEAL1",0,0,0,0,0,0,0,0,0,0,0,0,0
"MED12",0,0,0,0,0,0,0,0,0,0,0,0,0
"NLGN3",0,0,0,0,0,0,0,0,0,0,0,0,0
